'AI' 검색 결과 (상위 5개):
--------------------------------------------------
_id: 1 | 점수: 1.00  |  제목: [AI 에이전트 시대가 온다] 비즈니스의 판을 바꾸는 AI 에이전트
_id: 2 | 점수: 1.00  |  제목: 이준호의 인공지능이야기 <8> 스스로 일하는 AI - 나보다 부지런한 동료가 생겼다
_id: 3 | 점수: 1.00  |  제목: 카카오모빌리티, '이프 카카오'서 AI 기술 혁신 성과 공유
_id: 4 | 점수: 1.00  |  제목: AI가 주니어를 빛나게 할 것이라 했지만, 왜 시니어만 더 강해졌을까?
_id: 5 | 점수: 1.00  |  제목: 코드 리뷰를 잘하면 AI 에이전트도 잘 다룰 수 있음
_id: 6 | 점수: 1.00  |  제목: AI가 내 맘을 몰라줄 때: 더 적은 토큰으로 더 좋은 결과를 내는 4가지 기법
_id: 7 | 점수: 1.00  |  제목: CompileBench: AI가 22년 된 코드를 컴파일할 수 있을까?
_id: 8 | 점수: 1.00  |  제목: Qwen3-Omni: 텍스트, 이미지, 비디오를 위한 네이티브 옴니 AI 모델
_id: 9 | 점수: 1.00  |  제목: 기술 기업은 소프트웨어 개발에 대한 AI의 영향을 어떻게 측정하는가
_id: 10 | 점수: 1.00  |  제목: NotebookLM 설계 과정 돌아보기
_id: 11 | 점수: 1.00  |  제목: Chrome의 새로운 AI 기능들
_id: 12 | 점수: 1.00  |  제목: 과기정통부, 연구개발특구 내 'AI 글로벌 빅테크' 키운다
_id: 13 | 점수: 1.00  |  제목: “‘갤럭시 AI’ 4억대 기기로 확대”…최원준 삼성전자 사장, 퀄컴과 동행 강조
_id: 14 | 점수: 1.00  |  제목: “AI는 디지털 동료” MS, 국내 기업 AI에이전트 도입 사례 공개
_id: 15 | 점수: 1.00  |  제목: 샤오미, 향후 5년간 AI·OS·칩셋 분야에 39조원 투자
_id: 16 | 점수: 1.00  |  제목: SKT, AI 사업 총괄할 CIC 출범…2030년 연매출 5조 달성 목표
_id: 17 | 점수: 1.00  |  제목: 구글 ‘제미나이’, 글로벌 이용자 5억명 돌파… 오픈AI 턱밑까지 추격
_id: 18 | 점수: 1.00  |  제목: 유방암 키우는 단백질 첫 규명…ATE1 ‘가속페달’ 역할
_id: 19 | 점수: 1.00  |  제목: "AI 세계 양강 중국과 협업이 눈앞이네요…기대 만점입니다"
_id: 20 | 점수: 1.00  |  제목: 정부, 연구개발특구 내 AI 확산 본격 추진…'AI 빅테크' 키운다
_id: 21 | 점수: 1.00  |  제목: 쥐 75마리 태운 ‘현대판 노아의 방주’ 우주서 귀환 [우주로 간다]
_id: 22 | 점수: 1.00  |  제목: AI가 여는 새로운 창…'먼저 온 미래'와 만나다
_id: 23 | 점수: 1.00  |  제목: 타인에 대한 혐오와 차별, 중증 정신질환 원인 [달콤한 사이언스]
_id: 24 | 점수: 1.00  |  제목: AI휴머노이드 산업현장 투입...“AI·로봇 거미줄 규제 확 걷는다”
_id: 25 | 점수: 1.00  |  제목: 서울시, '이공계 전성시대' 선언…첨단 인재 확보 총력
_id: 26 | 점수: 1.00  |  제목: 상의, 美 진출 기업 위한 세미나…“관건은 HR 현지화”
_id: 27 | 점수: 1.00  |  제목: 자격증도 없는데 뭘… 자격체계 없는 신직업에 쏟아진 '무관심'
_id: 28 | 점수: 1.00  |  제목: 이우영 산인공 이사장 "청소년에서 명장으로…숙련인재 성장사다리 구축"
_id: 29 | 점수: 1.00  |  제목: “서울 아파트 가격 관련 추가대책, 필요시 정부와 긴밀 공조”[일문일답]
_id: 30 | 점수: 1.00  |  제목: 생애주기적자 첫 200조 돌파…유년·노년 적자↑·노동세대 흑자↓
_id: 31 | 점수: 1.00  |  제목: 먹거리 물가 왜 오르나 봤더니…원가 부풀리기에 8000억 탈세 정황까지
_id: 32 | 점수: 1.00  |  제목: 올해 세입 추경 대비 2.2兆 펑크…본예산 대비 3.3% 오차
